Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8470238095238095,0.8783262504086302,0.7837944664031621,0.8253529352696442,0.9064947130164521
Random Forest,0.8179421768707483,0.8207918261125959,0.7735177865612648,0.7933271521445089,0.8896706755402407
KNN,0.8180272108843537,0.8413705192221815,0.7470355731225297,0.7895840324151749,0.8832263549654854
Gradient Boosting,0.7975340136054421,0.7841351630825315,0.7747035573122529,0.777359786177143,0.8537419906985123
Decision Tree,0.7147959183673469,0.7092557783347256,0.6470355731225296,0.6722794280084783,0.7663696609348782
