Feature,Importance
major_vessels,0.10389610389610397
chest_pain_type,0.037337662337662406
st_slope,0.015476190476190543
exercise_angina,0.012337662337662392
st_depression,0.012012987012987097
thalassemia,0.011038961038961115
max_heart_rate,0.009632034632034681
sex,0.008549783549783595
resting_bp,0.008008658008658043
resting_ecg,0.004653679653679688
cholesterol,0.002922077922077915
age,0.001406926406926412
fasting_blood_sugar,0.0010822510822510623
